# Fat tree with k = 3
# 54 endhosts
# Each pod has (k/2)^2=9 servers
# Each pod has 3 edge switches
# and 3 agg. switches
# there are 9 core switches:
# (0, 1, 2, 3, 4, 5, 6, 7, 8)
99
162
0	9	10000	6
1	9	10000	6
2	9	10000	6
3	10	10000	6
4	10	10000	6
5	10	10000	6
6	11	10000	6
7	11	10000	6
8	11	10000	6
9	12	10000	6
10	12	10000	6
11	12	10000	6
9	13	10000	6
10	13	10000	6
11	13	10000	6
9	14	10000	6
10	14	10000	6
11	14	10000	6
12	15	10000	6
12	16	10000	6
12	17	10000	6
13	18	10000	6
13	19	10000	6
13	20	10000	6
14	21	10000	6
14	22	10000	6
14	23	10000	6
0	24	10000	6
1	24	10000	6
2	24	10000	6
3	25	10000	6
4	25	10000	6
5	25	10000	6
6	26	10000	6
7	26	10000	6
8	26	10000	6
24	27	10000	6
25	27	10000	6
26	27	10000	6
24	28	10000	6
25	28	10000	6
26	28	10000	6
24	29	10000	6
25	29	10000	6
26	29	10000	6
27	30	10000	6
27	31	10000	6
27	32	10000	6
28	33	10000	6
28	34	10000	6
28	35	10000	6
29	36	10000	6
29	37	10000	6
29	38	10000	6
0	39	10000	6
1	39	10000	6
2	39	10000	6
3	40	10000	6
4	40	10000	6
5	40	10000	6
6	41	10000	6
7	41	10000	6
8	41	10000	6
39	42	10000	6
40	42	10000	6
41	42	10000	6
39	43	10000	6
40	43	10000	6
41	43	10000	6
39	44	10000	6
40	44	10000	6
41	44	10000	6
42	45	10000	6
42	46	10000	6
42	47	10000	6
43	48	10000	6
43	49	10000	6
43	50	10000	6
44	51	10000	6
44	52	10000	6
44	53	10000	6
0	54	10000	6
1	54	10000	6
2	54	10000	6
3	55	10000	6
4	55	10000	6
5	55	10000	6
6	56	10000	6
7	56	10000	6
8	56	10000	6
54	57	10000	6
55	57	10000	6
56	57	10000	6
54	58	10000	6
55	58	10000	6
56	58	10000	6
54	59	10000	6
55	59	10000	6
56	59	10000	6
57	60	10000	6
57	61	10000	6
57	62	10000	6
58	63	10000	6
58	64	10000	6
58	65	10000	6
59	66	10000	6
59	67	10000	6
59	68	10000	6
0	69	10000	6
1	69	10000	6
2	69	10000	6
3	70	10000	6
4	70	10000	6
5	70	10000	6
6	71	10000	6
7	71	10000	6
8	71	10000	6
69	72	10000	6
70	72	10000	6
71	72	10000	6
69	73	10000	6
70	73	10000	6
71	73	10000	6
69	74	10000	6
70	74	10000	6
71	74	10000	6
72	75	10000	6
72	76	10000	6
72	77	10000	6
73	78	10000	6
73	79	10000	6
73	80	10000	6
74	81	10000	6
74	82	10000	6
74	83	10000	6
0	84	10000	6
1	84	10000	6
2	84	10000	6
3	85	10000	6
4	85	10000	6
5	85	10000	6
6	86	10000	6
7	86	10000	6
8	86	10000	6
84	87	10000	6
85	87	10000	6
86	87	10000	6
84	88	10000	6
85	88	10000	6
86	88	10000	6
84	89	10000	6
85	89	10000	6
86	89	10000	6
87	90	10000	6
87	91	10000	6
87	92	10000	6
88	93	10000	6
88	94	10000	6
88	95	10000	6
89	96	10000	6
89	97	10000	6
89	98	10000	6
