54
15	18   1  
16	19   1   
17	20   1
18	21   1
19	22   1
20	23   1
21	24   1
22	25   1
23	26   1
30	45   1
31	46   1
32	47   1
33	48   1
34	49   1
35	50   1
36	51   1
37	52   1
38	53   1
45	72   1
46	73   1
47	74   1
48	75   1
49	76   1
50	77   1
51	78   1
52	79   1
53	80   1
60	99   1
61	100  1
62	101  1
63	102  1
64	103  1
65	104  1
66	105  1
67	106  1
68	107  1
75	126  1
76	127  1
77	128  1
78	129  1
79	130  1
80	131  1
81	132  1
82	133  1
83	134  1
90	153  1
91	154  1
92	155  1
93	156  1
94	157  1
95	158  1
96	159  1
97	160  1
98	161  1
